,restaurant,food_name,calories_kcal,total_fat_g,saturated_fat_g,cholesterol_mg,sodium_g,total_carb,fiber_g,sugar_g,protein_g,vitamin_A_mg,vitamin_C_mg,calcium_mg
0,Mcdonalds,Artisan Grilled Chicken Sandwich,380,7,2.0,95,1110,44,3.0,11,37.0,4.0,20.0,20.0
1,Mcdonalds,Single Bacon Smokehouse Burger,840,45,17.0,130,1580,62,2.0,18,46.0,6.0,20.0,20.0
2,Mcdonalds,Double Bacon Smokehouse Burger,1130,67,27.0,220,1920,63,3.0,18,70.0,10.0,20.0,50.0
3,Mcdonalds,Grilled Bacon Smokehouse Chicken Sandwich,750,31,10.0,155,1940,62,2.0,18,55.0,6.0,25.0,20.0
4,Mcdonalds,Crispy Bacon Smokehouse Chicken Sandwich,920,45,12.0,120,1980,81,4.0,18,46.0,6.0,20.0,20.0
5,Mcdonalds,Big Mac,540,28,10.0,80,950,46,3.0,9,25.0,10.0,2.0,15.0
6,Mcdonalds,Cheeseburger,300,12,5.0,40,680,33,2.0,7,15.0,10.0,2.0,10.0
7,Mcdonalds,Classic Chicken Sandwich,510,24,4.0,65,1040,49,3.0,6,25.0,0.0,4.0,2.0
8,Mcdonalds,Double Cheeseburger,430,21,11.0,85,1040,35,2.0,7,25.0,20.0,4.0,15.0
9,Mcdonalds,Double Quarter Pounder® with Cheese,770,45,21.0,175,1290,42,3.0,10,51.0,20.0,6.0,20.0
10,Mcdonalds,Filet-O-Fish®,380,18,4.0,40,640,38,2.0,5,15.0,2.0,0.0,15.0
11,Mcdonalds,Garlic White Cheddar Burger,620,34,13.0,95,790,48,3.0,11,32.0,10.0,10.0,35.0
12,Mcdonalds,Grilled Garlic White Cheddar Chicken Sandwich,530,20,7.0,125,1150,48,3.0,11,42.0,10.0,20.0,35.0
13,Mcdonalds,Crispy Garlic White Cheddar Chicken Sandwich,700,34,9.0,85,1190,67,5.0,11,33.0,10.0,15.0,35.0
14,Mcdonalds,Hamburger,250,8,3.0,30,480,31,2.0,6,13.0,2.0,2.0,4.0
15,Mcdonalds,Lobster Roll,290,5,1.5,65,630,35,2.0,3,24.0,4.0,6.0,15.0
16,Mcdonalds,Maple Bacon Dijon 1/4 lb Burger,640,36,14.0,110,1260,40,3.0,10,37.0,6.0,15.0,15.0
17,Mcdonalds,Grilled Maple Bacon Dijon Chicken Sandwich,580,21,8.0,135,1890,50,3.0,14,48.0,4.0,30.0,30.0
18,Mcdonalds,Crispy Maple Bacon Dijon Chicken Sandwich,740,35,9.0,95,1780,69,5.0,14,39.0,4.0,20.0,290.0
19,Mcdonalds,McChicken,350,15,3.5,40,600,40,2.0,5,15.0,2.0,2.0,4.0
20,Mcdonalds,McDouble,380,18,8.0,70,840,34,2.0,7,23.0,10.0,2.0,10.0
21,Mcdonalds,McRib,480,22,7.0,80,870,45,2.0,12,25.0,2.0,2.0,6.0
22,Mcdonalds,Pico Guacamole 1/4 lb Burger,580,33,12.0,95,920,41,4.0,7,29.0,8.0,15.0,15.0
23,Mcdonalds,Grilled Pico Guacamole Chicken Sandwich,520,18,6.0,115,1540,50,4.0,12,40.0,8.0,25.0,30.0
