,food_name,calories_kcal,total_fat_g,saturated_fat_g,cholesterol_mg,sodium_g,carbohydrates_g,fiber_g,sugar_g,protein_g,vitamin_A_mg,vitamin_C_mg,calcium_mg
0,margarine with yoghurt,88,9.8,1.9,0.0,0.018,0.073,0.0,0.0,0.058,0.1,0.082,2.8
1,sunflower seed butter,99,8.8,0.7,0.0,0.065,3.7,0.9,1.7,2.8,0.0,0.4,10.2
2,hazelnut oil,120,13.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,menhaden fish oil,1966,218.0,66.3,1135.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,cod liver fish oil,123,13.6,3.1,77.5,0.0,0.0,0.0,0.0,0.0,4.1,0.0,0.0
5,sardine oil,123,13.6,4.1,96.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,cupu assu oil,120,13.6,7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,lard,115,12.8,5.0,12.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,sesame butter,94,8.1,1.1,0.0,0.031,3.8,0.9,0.0,2.9,0.0,0.0,153.6
9,margarine spread,59,6.7,1.2,0.1,0.019,0.1,0.0,0.0,0.082,0.0,0.0,0.6
10,lard vegetable oil,115,12.8,5.2,7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,shortening,113,12.8,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,vegetable oil spread,75,8.4,1.7,0.1,0.081,0.1,0.0,0.0,0.007,0.1,0.092,2.9
13,cottonseed oil,120,13.6,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,vegetable oil spread fat free,6,0.5,0.015,0.2,0.1,0.4,0.0,0.0,0.2,0.1,0.051,5.7
15,soy margarine,88,9.9,3.2,0.0,0.1,0.0,0.0,0.0,0.0,2.7,0.051,0.0
16,margarine with salt,100,11.3,2.1,0.0,0.1,0.017,0.0,0.0,0.031,2.1,0.036,0.068
17,margarine,102,11.5,2.2,0.0,0.091,0.018,0.0,0.0,0.037,2.1,0.076,0.059
18,salmon fish oil,123,13.6,2.7,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,nutmeg butter oil,1927,218.0,196.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,almond butter,98,8.9,0.7,0.0,0.037,3.0,1.6,0.7,3.4,0.0,0.0,55.5
21,sour cream shoprite,60,5.0,3.5,0.0,0.0,1.0,0.0,0.014,0.0,0.0,0.0,0.0
22,ucuhuba butter oil,120,13.6,11.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,chicken fat,115,12.8,3.8,10.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,herring fish oil,123,13.6,2.9,104.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,bacon grease,39,4.3,1.7,4.1,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,turkey fat,45,5.0,1.5,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,beef tallow,115,12.8,6.4,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,goose fat,45,5.0,1.4,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,duck fat,44,5.0,1.7,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,mutton tallow,45,5.0,2.4,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,grapeseed oil,120,13.6,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,sheanut oil,1927,218.0,101.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,almond oil,120,13.6,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,sunflower oil,120,13.6,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.066,0.0,0.1
35,cashew butter,94,7.9,1.6,0.0,0.071,4.4,0.3,0.8,2.8,0.0,0.0,6.9
36,canola oil,124,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032,0.0,0.088
37,babassu oil,1927,218.0,177.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,teaseed oil,120,13.6,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,avocado oil,124,14.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,vegetable palm kernel oil,117,13.6,11.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,coconut oil,117,13.6,11.2,0.0,0.0,0.0,0.0,0.0,0.0,0.045,0.0,0.029
42,safflower oil,120,13.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,vegetable oil,120,13.6,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.073
44,apricot kernel oil,40,4.5,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,peanut oil,119,13.5,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,poppyseed oil,120,13.6,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,flaxseed oil,120,13.6,1.2,0.0,0.0,0.0,0.0,0.0,0.086,0.0,0.0,0.1
48,tomatoseed oil,1927,218.0,42.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,wheat germ oil,120,13.6,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,sesame oil,40,4.5,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,corn granola oil,124,14.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,cocoa butter oil,120,13.6,8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,olive oil,119,13.5,1.9,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.1
54,palm kernel oil,40,4.5,4.0,0.0,0.098,0.0,0.0,0.0,0.0,0.2,0.0,0.033
55,mustard oil,124,14.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,rice bran oil,120,13.6,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,vegetable macaroni dry,308,0.9,0.1,0.0,0.06,62.9,3.6,0.0,11.0,0.0,0.0,28.6
58,chow mein noodles,257,9.9,1.0,0.0,0.5,37.5,1.5,0.5,5.9,0.0,0.0,11.2
59,chinese noodles,456,0.094,0.088,0.0,0.088,111.9,0.7,0.0,0.2,0.0,0.031,0.0
60,vegetable macaroni cooked,172,0.1,0.037,0.0,0.015,35.7,5.8,1.5,6.1,0.0,0.0,14.7
61,corn pasta dry,375,2.2,0.3,0.0,0.027,83.2,11.6,0.0,7.8,0.0,0.0,4.2
62,egg noodles dry,146,1.7,0.4,31.9,0.095,27.1,1.3,0.7,5.4,0.086,0.0,13.3
63,whole wheat spaghetti dry,98,0.4,0.047,0.0,0.002,21.2,0.0,0.0,4.1,0.0,0.0,11.3
64,japanese soba noodles dry,95,0.2,0.084,0.0,0.2,21.1,0.0,0.0,4.1,0.0,0.0,9.9
65,rice noodles dry,103,0.2,0.053,0.0,0.006,23.6,0.5,0.0,1.0,0.0,0.0,5.1
66,spinach spaghetti dry,105,0.4,0.097,0.0,0.094,21.2,3.0,0.8,3.8,0.0,0.0,16.4
67,egg noodles cooked,110,1.7,0.3,23.2,0.027,20.1,1.0,0.3,3.6,0.007,0.029,0.0
68,japanese somen noodles cooked,231,0.3,0.006,0.0,0.3,48.5,0.0,0.0,7.0,0.0,0.0,14.1
69,whole wheat macaroni dry,365,1.5,0.3,0.0,0.028,78.8,8.7,0.0,15.4,0.0,0.0,42.0
70,pasta marinara and ground beef sauce,41,1.6,0.5,0.2,0.0,4.1,0.5,1.0,2.5,0.0,0.0,0.0
71,macaroni raw,390,1.6,0.3,0.0,0.097,78.4,3.4,2.8,13.7,0.0,0.0,22.1
72,spaghetti dry,105,0.4,0.045,0.0,0.09,21.1,0.9,0.8,3.7,0.0,0.0,5.9
73,fusilli cucina,100,0.4,0.1,0.0,0.0,3.4,0.0,0.041,0.0,0.0,0.0,0.0
74,japanese somen noodles dry,101,0.2,0.0,0.0,0.5,21.0,1.2,0.0,3.2,0.0,0.0,6.5
75,pasta cooked,301,2.4,0.3,75.9,0.073,57.3,0.0,0.0,11.8,0.061,0.0,13.8
76,macaroni cooked,221,1.3,0.2,0.0,0.071,43.2,2.5,0.8,8.1,0.0,0.089,0.0
77,spinach egg noodles dry,145,1.7,0.4,36.1,0.096,26.7,2.6,0.0,5.6,0.0,0.0,21.3
78,japanese soba noodles cooked,113,0.1,0.026,0.0,0.1,24.4,0.0,0.0,5.8,0.0,0.0,4.6
79,rice noodles cooked,190,0.4,0.072,0.0,0.075,42.3,1.8,0.052,3.2,0.0,0.0,7.0
80,whole wheat macaroni cooked,174,0.8,0.1,0.0,0.057,37.2,3.9,1.1,7.5,0.0,0.0,21.0
81,spaghetti cooked,363,2.1,0.4,0.0,0.089,71.0,4.1,1.3,13.3,0.0,0.1,0.0
82,whole wheat spaghetti cooked,174,0.8,0.1,0.0,0.091,37.2,6.3,1.1,7.5,0.0,0.0,21.0
83,waffle,218,10.6,2.1,51.8,0.4,24.7,0.0,0.0,5.9,0.069,0.3,191.3
84,baked taco shell,61,2.7,0.8,0.0,0.004,8.3,0.9,0.2,0.8,0.0,0.0,12.5
85,puff pastry,1367,94.3,13.5,0.0,0.6,112.0,3.7,1.8,18.1,0.0,0.0,24.5
86,blueberry muffin,214,9.2,1.6,17.1,0.2,30.2,0.6,17.9,2.6,0.1,0.034,0.054
87,bread crumbs,427,5.7,1.3,0.0,0.8,77.7,4.9,6.7,14.4,0.0,0.0,197.6
88,warm cinnamon roll mcdonalds,113,5.1,1.3,16.4,0.1,15.0,0.5,7.0,2.0,0.06,0.0,16.1
89,corn muffin,201,5.5,0.9,17.2,0.3,33.7,2.2,11.7,3.9,0.01,0.0,48.8
90,tortilla,467,1.9,0.6,0.0,0.9,98.4,4.7,5.4,14.3,0.0,0.0,137.9
91,croutons seasoned,186,7.3,2.1,2.8,0.4,25.4,2.0,1.8,4.3,0.029,0.0,38.4
92,buttermilk waffle,102,3.1,0.8,4.3,0.2,16.0,0.9,1.5,2.4,0.1,0.0,98.7
93,flour tortilla,146,3.7,0.6,0.0,0.4,24.1,1.2,1.3,3.9,0.0,0.0,79.9
