,Unnamed: 0,food,Caloric Value,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Sugars,Protein,Dietary Fiber,Cholesterol,Sodium,Water,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B12,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Zinc,Nutrition Density
54,54,chicken and rice casserole homade,27,1,0,0,0,2.4,0,2,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.7
57,57,baked potato with cheese sauce bacon,451,25.9,10.1,9.7,4.8,44.4,0,18.4,0,29.9,1,194.4,0.2,0.3,0.011,0.007,0.2,4,1.3,0.7,28.7,0,0,0,308,0.6,3.1,68.8,0.5,346.8,1178.1,0.01,2.2,428.7
60,60,enchilada with cheese beef,323,17.6,9,6.1,1.4,30.5,0,11.9,0,40.3,1.3,128.4,0.016,0.056,0.075,0.036,0.4,2.5,1.4,0.3,1.3,0,0,0,228.5,0.5,3.1,82.6,0.6,167,574.1,0.092,2.7,292.933
61,61,corned beef hash with potatoes,387,24.2,10.2,12.4,0.7,21.9,0.8,20.6,2.6,75.5,1,166,0,0.2,0.013,0.062,0.1,3.7,1,0.5,2.1,0,0.057,0.017,44.8,0,2.4,30.7,0.2,132.2,405.9,0.034,3.3,118.6
64,64,quesadilla with chicken,529,27.5,11.1,6.8,7.4,43.3,3.4,27.1,3.1,66.6,1.3,76.7,0.1,0.4,0.073,0.012,0.3,7.6,0,0.1,0.2,0.1,0.5,0.03,484.2,0.1,3.2,45,0.5,563.4,329.4,0.025,2.6,588.7
68,68,frijoles with cheese,225,7.8,4.1,2.6,0.7,28.7,0,11.4,0,36.7,0.9,115.4,0.008,0.1,0.1,0.085,0.3,1.5,1.1,0.2,1.5,0,0,0,188.7,0.3,2.2,85.2,0.5,175.4,604.5,0.013,1.7,240.305
69,69,burrito with beef,285,8.1,1.7,1.7,4,43.9,4.1,9.1,4.4,2.6,0.5,65.8,0.036,0.036,0.4,0.2,0.023,0.2,3.2,1.8,0.1,0.4,0,0.5,0.042,67.1,0.2,3.2,40,0.5,150.9,270.9,0.002,65.89
70,70,crispy chicken sandwich,350,17.6,3.3,4,8.4,33.2,3.9,14.8,0,0,0.7,57.9,0,0,0,0,0,0,0,0,0,0,0,0,46.6,0.09,1.9,25.2,0.3,229.3,233.1,0,0.7,114.1
71,71,enchilada with cheese,374,25.3,11.5,6.4,3.8,21.2,3.6,15.4,2.6,57.5,0.7,71.8,0.7,0.3,0.081,0.073,0.036,0.3,0.9,1.3,0.2,0.8,0,1.8,0,430.2,0.2,0.9,39.7,0.2,367.2,191.8,0.03,65.6
75,75,burrito with beans,224,6.7,3.4,2.4,0.6,35.7,0,7,0,2.2,0.5,57,0,0.3,0.067,0.093,0.3,2,1,0.2,1,0,0,0,56.4,0.2,2.3,43.4,0.4,48.8,326.6,0.024,0.8,109.1
