,restaurant,food_name,calories_kcal,total_fat_g,saturated_fat_g,cholesterol_mg,sodium_g,carbohydrates_g,fiber_g,sugar_g,protein_g,vitamin_A_mg,vitamin_C_mg,calcium_mg,category
0,Mcdonalds,Grilled Bacon Smokehouse Chicken Sandwich,750.0,31.0,10.0,155.0,1940.0,62.0,2.0,18.0,55.0,6.0,25.0,20.0,Fast Food
1,Mcdonalds,Lobster Roll,290.0,5.0,1.5,65.0,630.0,35.0,2.0,3.0,24.0,4.0,6.0,15.0,Fast Food
2,Mcdonalds,McChicken,350.0,15.0,3.5,40.0,600.0,40.0,2.0,5.0,15.0,2.0,2.0,4.0,Fast Food
3,Mcdonalds,4 piece Buttermilk Crispy Chicken Tenders,480.0,28.0,4.5,95.0,1290.0,21.0,0.0,1.0,38.0,0.0,0.0,2.0,Fast Food
4,Mcdonalds,Premium Asian Salad w Grilled Chicken,270.0,9.0,1.0,80.0,740.0,18.0,5.0,10.0,31.0,180.0,70.0,10.0,Fast Food
5,Chick Fil-A,Chargrilled Chicken Sandwich,310.0,6.0,2.0,55.0,820.0,36.0,3.0,7.0,29.0,25.0,40.0,10.0,Fast Food
6,Chick Fil-A,4 piece ChicknStrips,470.0,23.0,3.0,90.0,1250.0,29.0,1.0,4.0,37.0,2.0,4.0,8.0,Fast Food
7,Chick Fil-A,6 piece Chicken Nuggets,190.0,9.0,1.5,55.0,730.0,7.0,1.0,0.0,21.0,0.0,4.0,2.0,Fast Food
8,Chick Fil-A,Chicken Salad Sandwich,490.0,19.0,3.0,80.0,1130.0,55.0,5.0,12.0,28.0,35.0,8.0,15.0,Fast Food
9,Chick Fil-A,Smokehouse BBQ Bacon Sandwich,500.0,18.0,0.0,95.0,1200.0,46.0,2.0,10.0,33.0,45.0,40.0,20.0,Fast Food
10,Sonic,Super Sonic Bacon Double Cheeseburger ,1280.0,92.0,36.0,260.0,1630.0,44.0,2.0,7.0,67.0,15.0,6.0,40.0,Fast Food
11,Sonic,Grilled Asiago Caesar Chicken Club Sandwich,610.0,30.0,7.0,110.0,1570.0,44.0,3.0,8.0,40.0,11.0,20.0,16.0,Fast Food
12,Sonic,Small Jumbo Popcorn Chicken,380.0,22.0,4.0,45.0,1250.0,27.0,3.0,1.0,18.0,0.0,0.0,2.0,Fast Food
13,Sonic,4 Piece Super Crunch Chicken Strips,440.0,21.0,4.0,70.0,900.0,34.0,2.0,1.0,29.0,1.0,2.0,1.0,Fast Food
14,Sonic,All Beef Chili Cheese Coney ,410.0,26.0,11.0,65.0,1140.0,30.0,2.0,4.0,17.0,10.0,2.0,20.0,Fast Food
15,Arbys,Beef n Cheddar Classic,450.0,20.0,6.0,50.0,1280.0,45.0,2.0,9.0,23.0,2.0,2.0,15.0,Fast Food
16,Arbys,3 piece PrimeCut Chicken Tenders,360.0,17.0,2.5,45.0,950.0,28.0,2.0,0.0,23.0,0.0,4.0,2.0,Fast Food
17,Arbys,Roast Turkey Swiss Sandwich,710.0,28.0,7.0,65.0,1930.0,79.0,5.0,15.0,38.0,20.0,10.0,45.0,Fast Food
18,Arbys,Roast Turkey Ranch Bacon Wrap,620.0,34.0,11.0,85.0,2130.0,39.0,4.0,6.0,37.0,20.0,10.0,30.0,Fast Food
19,Arbys,Crispy Chicken Farmhouse Salad,430.0,24.0,8.0,65.0,1000.0,26.0,4.0,4.0,28.0,60.0,20.0,25.0,Fast Food
20,Dairy Queen,GrillBurger with Cheese,800.0,51.0,20.0,135.0,1280.0,44.0,3.0,13.0,40.0,25.0,6.0,35.0,Fast Food
21,Dairy Queen,Mushroom Swiss GrillBurger,570.0,35.0,11.0,75.0,820.0,39.0,2.0,8.0,24.0,2.0,0.0,25.0,Fast Food
22,Dairy Queen,Breaded Mushrooms,250.0,9.0,1.0,0.0,500.0,36.0,2.0,1.0,7.0,0.0,2.0,2.0,Fast Food
23,Dairy Queen,Crispy Fish Sandwich,470.0,22.0,3.0,20.0,1210.0,53.0,2.0,7.0,17.0,10.0,2.0,6.0,Fast Food
24,Dairy Queen,Grilled Chicken Wrap,280.0,15.0,4.0,30.0,800.0,22.0,1.0,1.0,15.0,10.0,4.0,10.0,Fast Food
25,Subway,6 Chicken Bacon Ranch Melt,570.0,28.0,10.0,95.0,1080.0,47.0,5.0,8.0,35.0,15.0,25.0,50.0,Fast Food
26,Subway,Footlong Veggie Delite,460.0,6.0,2.0,0.0,620.0,88.0,10.0,12.0,16.0,16.0,40.0,60.0,Fast Food
27,Subway,Footlong Veggie Patty,780.0,14.0,2.0,20.0,1600.0,112.0,16.0,16.0,46.0,30.0,20.0,70.0,Fast Food
28,Subway,Double Chicken Salad,220.0,5.0,1.5,100.0,490.0,10.0,4.0,4.0,36.0,50.0,60.0,8.0,Fast Food
29,Subway,Roast Beef Salad,140.0,4.0,1.0,40.0,450.0,10.0,4.0,5.0,18.0,25.0,45.0,4.0,Fast Food
30,Subway,Tuna Salad,310.0,24.0,4.0,40.0,370.0,10.0,4.0,4.0,15.0,50.0,50.0,6.0,Fast Food
31,Subway,Veggie Delite Salad,50.0,1.0,0.0,0.0,65.0,9.0,4.0,4.0,3.0,25.0,45.0,4.0,Fast Food
32,Subway,Pepperoni Pizza,790.0,32.0,13.0,60.0,1350.0,96.0,4.0,8.0,38.0,30.0,4.0,60.0,Fast Food
33,Taco Bell,Steak Crunchy Cheesy Core Burrito,610.0,24.0,9.0,50.0,1520.0,75.0,5.0,5.0,25.0,10.0,4.0,40.0,Fast Food
34,Taco Bell,Spicy Sweet Double Stacked Taco,340.0,18.0,7.0,35.0,640.0,32.0,4.0,6.0,12.0,10.0,2.0,15.0,Fast Food
35,Taco Bell,Triple Melt Nachos,260.0,16.0,4.5,30.0,550.0,19.0,3.0,1.0,10.0,6.0,0.0,10.0,Fast Food
36,Taco Bell,Crispy Chicken Quesadilla,650.0,37.0,13.0,75.0,1480.0,51.0,5.0,3.0,26.0,10.0,2.0,45.0,Fast Food
37,Taco Bell,Spicy Triple Double Crunchwrap,780.0,38.0,10.0,50.0,1850.0,87.0,9.0,8.0,23.0,20.0,10.0,25.0,Fast Food
38,Mcdonalds,Premium Asian Salad,140.0,7.0,0.5,0.0,20.0,13.0,5.0,7.0,7.0,180.0,45.0,10.0,Fast Food
39,Chick Fil-A,8 piece Grilled Chicken Nuggets,140.0,4.0,1.0,70.0,440.0,2.0,0.0,0.0,25.0,0.0,10.0,2.0,Fast Food
40,Subway,Oven Roasted Chicken Salad,140.0,3.0,0.5,50.0,280.0,10.0,4.0,4.0,19.0,50.0,60.0,8.0,Fast Food
41,Subway,Subway Club Salad,140.0,4.0,1.0,40.0,640.0,11.0,4.0,5.0,17.0,25.0,45.0,6.0,Fast Food
42,Chick Fil-A,4 piece Chicken Nuggets,130.0,6.0,1.5,40.0,490.0,5.0,1.0,0.0,14.0,0.0,2.0,2.0,Fast Food
43,Chick Fil-A,1 Piece ChicknStrips,120.0,6.0,3.0,25.0,320.0,6.0,0.0,1.0,11.0,0.0,0.0,2.0,Fast Food
44,Chick Fil-A,6 Piece Grilled Chicken Nuggets,110.0,3.0,1.0,50.0,330.0,2.0,0.0,0.0,19.0,0.0,8.0,0.0,Fast Food
45,Subway,Black Forest Ham Salad,110.0,3.0,1.0,20.0,590.0,11.0,4.0,6.0,12.0,25.0,45.0,4.0,Fast Food
46,Subway,Turkey Breast Ham Salad,110.0,3.0,1.0,25.0,580.0,11.0,4.0,5.0,12.0,25.0,45.0,6.0,Fast Food
47,Subway,Turkey Breast Salad,110.0,2.0,1.0,20.0,570.0,11.0,4.0,5.0,12.0,25.0,45.0,6.0,Fast Food
48,Sonic,Ultimate Chicken Club,100.0,64.0,15.0,100.0,2070.0,65.0,4.0,12.0,39.0,15.0,8.0,30.0,Fast Food
49,Chick Fil-A,4 Piece Grilled Chicken Nuggets,70.0,2.0,1.0,35.0,220.0,1.0,0.0,0.0,13.0,0.0,6.0,0.0,Fast Food
50,Arbys,Chopped Side Salad,70.0,5.0,2.5,15.0,100.0,4.0,1.0,2.0,5.0,35.0,10.0,10.0,Fast Food
51,Not Fast Food,chicken and rice casserole homade,27.0,1.0,0.0,0.0,0.0,2.4,0.3,0.0,2.0,0.0,0.0,0.0,General Food
52,Not Fast Food,baked potato with cheese sauce bacon,451.0,25.9,10.1,29.9,1.0,44.4,0.0,0.0,18.4,0.2,28.7,308.0,General Food
53,Not Fast Food,enchilada with cheese beef,323.0,17.6,9.0,40.3,1.3,30.5,0.0,0.0,11.9,0.016,1.3,228.5,General Food
54,Not Fast Food,corned beef hash with potatoes,387.0,24.2,10.2,75.5,1.0,21.9,2.6,0.8,20.6,0.0,2.1,44.8,General Food
55,Not Fast Food,quesadilla with chicken,529.0,27.5,11.1,66.6,1.3,43.3,3.1,3.4,27.1,0.1,0.2,484.2,General Food
56,Not Fast Food,frijoles with cheese,225.0,7.8,4.1,36.7,0.9,28.7,0.0,0.0,11.4,0.008,1.5,188.7,General Food
57,Not Fast Food,burrito with beef,285.0,8.1,1.7,2.6,0.5,43.9,4.4,4.1,9.1,0.036,0.1,0.042,General Food
58,Not Fast Food,crispy chicken sandwich,350.0,17.6,3.3,0.0,0.7,33.2,0.0,3.9,14.8,0.0,0.0,46.6,General Food
59,Not Fast Food,enchilada with cheese,374.0,25.3,11.5,57.5,0.7,21.2,2.6,3.6,15.4,0.7,0.2,0.0,General Food
